ID_Ra;Navn;DSK Kategori;Produkt;Kategori;Total kg CO2e/kg
Ra00001;Peberfrugt, rød, rå;Grøntsager;Peberfrugt;Grøntsager og grøntsagsprodukter;1,07
Ra00002;Tomat, uspec., rå;Grøntsager;Tomat;Grøntsager og grøntsagsprodukter;0,48
Ra00003;Squash, rå;Grøntsager;Squash;Grøntsager og grøntsagsprodukter;0,84
Ra00004;Aubergine, rå;Grøntsager;Aubergine;Grøntsager og grøntsagsprodukter;0,99
Ra00005;Tomat, soltørret;Grøntsager;Tomat, soltørret;Grøntsager og grøntsagsprodukter;2,72
Ra00006;Græskar, rå;Grøntsager;Græskar;Grøntsager og grøntsagsprodukter;0,84
Ra00007;Agurk, rå;Grøntsager;Agurk;Grøntsager og grøntsagsprodukter;0,40
Ra00008;Drueagurk (sylteagurk), rå;Grøntsager;Drueagurk (sylteagurk);Grøntsager og grøntsagsprodukter;0,40
Ra00009;Peber, chili, rå;Grøntsager;Peber, chili;Grøntsager og grøntsagsprodukter;1,07
Ra00010;Oksekød, inderlår uden kappe, rå;Kød/fjerkræ;Oksekød, inderlår uden kappe;Kød og fjerkræ;67,82
Ra00011;Oksekød, mørbrad, afpudset, rå;Kød/fjerkræ;Oksekød, mørbrad, afpudset;Kød og fjerkræ;227,85
Ra00012;Oksekød, hakket, 10-15% fedt, rå;Kød/fjerkræ;Oksekød, hakket, 10-15% fedt;Kød og fjerkræ;48,04
Ra00013;Oksekød, culotte, rå;Kød/fjerkræ;Oksekød, culotte;Kød og fjerkræ;67,82
Ra00014;Oksekød, hakket, 15-20% fedt, rå;Kød/fjerkræ;Oksekød, hakket, 15-20% fedt;Kød og fjerkræ;45,47
Ra00015;Oksekød, tyndsteg med mørbrad, rå;Kød/fjerkræ;Oksekød, tyndsteg med mørbrad;Kød og fjerkræ;120,83
Ra00016;Oksekød, hakket, 5-10% fedt, rå;Kød/fjerkræ;Oksekød, hakket, 5-10% fedt;Kød og fjerkræ;50,61
Ra00017;Øl, pilsner, 4.4 % vol.;Drikkevarer;Øl, pilsner, 4,4 % vol., dåse;Vin, øl og spiritus;0,68
Ra00018;Øl, hvidtøl, letøl;Drikkevarer;Øl, letøl, 1,7 % vol., dåse;Vin, øl og spiritus;0,68
Ra00019;Øl, stærk, 7,6 % vol.;Drikkevarer;Øl, stærk, 7,6 % vol., dåse;Vin, øl og spiritus;0,68
Ra00020;Kiks, Marie;Brød/bageartikler;Kiks, Marie;Brød og bageartikler;2,93
Ra00021;Kiks, fuldkorns-, digestivetype;Brød/bageartikler;Kiks, fuldkorns-, digestivetype;Brød og bageartikler;2,82
Ra00022;Småkage, hvede, traditionelle danske, industrifremstillet;Brød/bageartikler;Småkage, hvede, traditionelle danske, industrifremstillet;Brød og bageartikler;3,23
Ra00023;Småkage, cookie (amerikansk type), industrifremstillet;Brød/bageartikler;Småkage, cookie (amerikansk type), industrifremstillet;Brød og bageartikler;2,82
Ra00024;Müslibar;Brød/bageartikler;Müslibar;Korn og kornprodukter;4,75
Ra00025;Vaffelrør;Brød/bageartikler;Vaffelrør;Brød og bageartikler;2,74
Ra00026;Rasp;Brød/bageartikler;Rasp;Brød og bageartikler;1,84
Ra00027;Knækbrød, rug-, groft;Brød/bageartikler;Knækbrød, rug, groft;Brød og bageartikler;1,62
Ra00028;Hvedebrød, toastbrød, fint, industrifremstillet;Brød/bageartikler;Hvedebrød, toastbrød, fint, industrifremstillet;Brød og bageartikler;1,16
Ra00029;Pølsebrød;Brød/bageartikler;Pølsebrød;Brød og bageartikler;1,16
Ra00030;Grovbolle;Brød/bageartikler;Grovbolle;Brød og bageartikler;1,16
Ra00031;Rugbrød, fuldkorn, industrifremstillet;Brød/bageartikler;Rugbrød, fuldkorn, industrifremstillet;Brød og bageartikler;1,02
Ra00032;Rugbrød, revet, med brunt sukker, uspec.;Brød/bageartikler;Rugbrødskrymmel/ymerdrys;Brød og bageartikler;2,21
Ra00033;Cornflakes, uspec.;Korn-/gryn-/bælgfrugtprodukter;Cornflakes;Korn og kornprodukter;2,39
Ra00034;Müsli, uspec.;Korn-/gryn-/bælgfrugtprodukter;Müsli;Korn og kornprodukter;2,31
Ra00035;Morgenmadsprodukt, Guldkorn;Korn-/gryn-/bælgfrugtprodukter;Morgenmadsprodukt, Guldkorn;Korn og kornprodukter;2,68
Ra00036;Morgenmadsprodukt, Havrefras;Korn-/gryn-/bælgfrugtprodukter;Morgenmadsprodukt, Havrefras;Korn og kornprodukter;2,06
Ra00037;Smør, saltet;Mælk/æg/erstatningsprodukter;Smør, saltet;Mælk, mejeriprodukter og æg;3,30
Ra00038;Smørbart blandingsprodukt, 75% fedt;Mælk/æg/erstatningsprodukter;Smørbart blandingsprodukt, 75% fedt;Mælk, mejeriprodukter og æg;3,21
Ra00039;Skærekage, chokoladekage/-pie;Brød/bageartikler;Skærekage, chokoladekage;Brød og bageartikler;2,32
Ra00040;Wienerbrød, kanelsnegl;Brød/bageartikler;Wienerbrød, kanelsnegl;Brød og bageartikler;1,90
Ra00041;Skærekage, formkage, uspec.;Brød/bageartikler;Skærekage, formkage;Brød og bageartikler;2,32
Ra00042;Flødeskumskage, lagkagesnitte;Brød/bageartikler;Flødeskumskage, lagkagesnitte;Brød og bageartikler;2,32
Ra00043;Kage, trøffelprodukt / koldprodukt, industrifremstillet;Brød/bageartikler;Kage, trøffelprodukt / koldprodukt, industrifremstillet;Brød og bageartikler;3,67
Ra00044;Bacon, stegestykke, rå;Kød/fjerkræ;Grisekød, bacon, stegestykke;Kød og fjerkræ;6,43
Ra00045;Salami;Kød/fjerkræ;Grisekød, spegepølse, salami;Kød og fjerkræ;5,70
Ra00046;Skinke, kogt, skiveskåret;Kød/fjerkræ;Grisekød, skinke, kogt, pålæg;Kød og fjerkræ;4,28
Ra00047;Roastbeef, pålæg;Kød/fjerkræ;Oksekød, roastbeef, pålæg;Kød og fjerkræ;67,91
Ra00048;Medisterpølse, rå;Kød/fjerkræ;Grisekød, medisterpølse;Kød og fjerkræ;2,76
Ra00049;Leverpostej;Kød/fjerkræ;Grisekød, leverpostej;Kød og fjerkræ;3,96
Ra00050;Rullepølse, pålæg;Kød/fjerkræ;Grisekød, rullepølse, pålæg;Kød og fjerkræ;4,28
Ra00051;Pølse, bratwurst, thüringer;Kød/fjerkræ;Grisekød, pølse bratwurst;Kød og fjerkræ;2,16
